@relation data

@attribute titre numeric
@attribute url numeric
@attribute sitename numeric
@attribute datedepublication numeric
@attribute datedepostule numeric
@attribute adressdelentreprise numeric
@attribute sitewebdentreprise numeric
@attribute descriptiondelentreprise numeric
@attribute descriptiondeposte numeric
@attribute region numeric
@attribute ville numeric
@attribute secteurdactivite numeric
@attribute metier numeric
@attribute typedecontrat numeric
@attribute niveaudetude numeric
@attribute diplome numeric
@attribute experience numeric
@attribute profilerecherche numeric
@attribute traitsdepersonnalite numeric
@attribute hardskills numeric
@attribute softskills numeric
@attribute competencerecommandees numeric
@attribute langue numeric
@attribute niveaudelalangue numeric
@attribute salaire numeric
@attribute avantagesociaux numeric
@attribute teletravail numeric
@attribute nomdentreprise numeric

@data
0,0,0,0,0,1,0,0,0,1,1,1,1,1,5,5,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,1,5,5,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,3,5,5,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,6,3,3,2,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,6,3,3,2,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,6,3,3,2,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,6,3,3,2,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,6,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,11,0,0,0,14,11,1,1,12,3,3,3,0,0,0,0,0,0,5,0,0,0,0
