"adressdelentreprise","region","ville","secteurdactivite","metier","typedecontrat","niveaudetude","diplome","experience","langue","niveaudelalangue"
"1","1","1","5","3","5","4","4","2","0","5"
"1","1","1","5","3","4","3","3","2","0","5"
"2","3","2","11","3","1","4","4","3","5","1"
"1","1","1","4","3","5","3","3","1","1","1"
"1","1","1","9","3","1","5","5","2","1","1"
"1","1","1","5","3","1","5","5","3","4","1"
"1","1","1","4","3","1","5","5","2","1","1"
"1","1","1","5","3","5","3","3","2","1","1"
"1","1","1","8","3","5","3","3","2","1","1"
"17","6","17","8","3","1","5","5","2","0","5"
"1","1","1","3","3","1","5","5","1","3","1"
"4","2","4","5","3","5","2","2","2","1","1"
"1","1","1","3","4","1","3","3","2","1","1"
"1","1","1","4","3","1","5","5","2","1","1"
"1","1","1","5","3","1","3","3","2","0","5"
"11","14","11","0","3","6","5","5","2","5","1"
"1","1","1","8","3","5","3","3","2","1","1"
"4","2","4","5","3","5","2","2","2","1","1"
"1","1","1","4","3","5","5","5","1","4","1"
"1","1","1","5","3","1","5","5","2","1","1"
"14","7","14","5","3","1","5","5","2","4","1"
"14","7","14","5","3","1","5","5","2","4","1"
"14","7","14","5","3","1","3","3","1","4","1"
"1","1","1","5","3","5","3","3","2","1","1"
"1","1","1","5","3","5","3","3","2","3","1"
"14","7","14","5","3","1","5","5","2","4","1"
"1","13","1","6","3","1","3","3","2","3","1"
"1","1","1","5","3","5","5","5","1","0","5"
"6","4","6","8","3","4","2","2","5","0","5"
"1","1","1","9","3","1","5","5","3","0","5"
"2","3","2","5","3","5","2","2","2","3","1"
"1","1","1","5","3","1","2","2","2","0","5"
"15","2","15","5","3","1","3","3","2","0","5"
"1","1","1","3","4","1","3","3","1","3","1"
"4","2","4","0","3","1","5","5","3","1","1"
"7","10","7","5","3","7","2","2","2","0","5"
"1","1","1","5","3","9","3","3","2","1","1"
"1","1","1","5","3","5","3","3","2","0","5"
"1","1","1","3","4","1","5","5","2","3","2"
"1","1","1","0","3","1","5","5","1","3","1"
"1","1","1","0","4","1","5","5","2","3","1"
"1","1","1","5","3","5","1","1","2","1","1"
"16","1","16","5","3","5","4","4","2","1","1"
"1","1","1","4","3","5","3","3","2","3","2"
"2","3","2","12","3","1","5","5","2","5","1"
"1","1","1","5","3","5","3","3","2","1","1"
"1","1","1","5","3","5","3","3","2","0","5"
"1","1","1","5","3","5","5","5","2","1","1"
"1","1","1","5","3","9","3","3","2","1","1"
"1","1","1","5","4","5","2","2","1","1","1"
"1","1","1","5","3","5","3","3","2","1","1"
"1","1","1","5","3","5","3","3","1","1","1"
"2","3","2","5","3","10","2","2","1","3","1"
"8","1","8","5","3","5","2","2","2","0","5"
"1","1","1","8","3","5","3","3","1","1","1"
"6","4","6","6","3","1","5","5","2","1","2"
"1","1","1","4","3","1","5","5","2","1","1"
"1","1","1","5","3","1","3","3","2","1","1"
"1","1","1","5","3","5","2","2","2","1","4"
"12","2","12","5","3","1","5","5","3","5","1"
"1","1","1","5","3","9","3","3","1","1","1"
"9","11","9","5","3","5","2","2","1","1","1"
"1","1","1","5","3","5","3","3","2","3","1"
"1","1","1","0","3","5","2","2","2","1","1"
"1","1","1","13","5","1","2","2","1","7","1"
"1","1","1","13","5","1","2","2","2","8","1"
"2","3","2","1","5","1","2","2","1","1","1"
"1","1","1","13","5","1","2","2","1","9","1"
"1","1","1","13","5","1","2","2","1","10","1"
"1","1","1","13","5","1","2","2","1","9","1"
"1","1","1","13","5","1","1","1","2","11","1"
"1","1","1","3","4","1","3","3","2","1","1"
"1","1","1","5","6","1","2","2","2","1","1"
"24","1","24","10","6","1","5","5","2","3","1"
"3","12","3","4","7","2","3","3","3","1","1"
"1","1","1","10","7","11","4","4","2","11","1"
"23","2","23","5","6","1","5","5","2","0","5"
"3","12","3","4","7","2","4","4","3","1","1"
"3","12","3","4","7","2","4","4","3","1","1"
"1","1","1","5","7","5","3","3","3","2","1"
